Category,Dataset title,Version,Contact organisation,Dataset ID,Associated metadata?,Webpage and/or download,Factsheet URL,Country,Region,DIC_MET_ACCESS_USE_CONSTRAINT.NAME,License URL,Open Access,Marine Spatial Planning & Policy,Education,Environmental Impact & high-level screening,Ecosystem health & assessment,Ecosystem services and blue carbon,Metadata link,Language,ABNJ_rel,ABNJ project
Biogenic habitat,Kelp Ecosystem Ecology Network (KEEN),,University of Massachusetts Boston,UMASS-001,FALSE,http://www.kelpecosystems.org/,,Global,Global,CC BY 3.0 or 4.0,http://catalogue-temperatereefbase.imas.utas.edu.au/geonetwork/srv/eng/metadata.show?uuid=a869dfaa-59a7-4d2f-aaa6-47c2dae5741a,FALSE,FALSE,FALSE,FALSE,TRUE,TRUE,,English,FALSE,
Biodiversity-related data portal,Environmental Data Explorer,,UN Environment,UNEP-003,FALSE,http://geodata.grid.unep.ch,,Global,"Global, Areas Beyond National Jurisdiction (ABNJ)",Unrestricted,http://geodata.grid.unep.ch/extras/agreement.php,FALSE,FALSE,TRUE,FALSE,TRUE,TRUE,,English,TRUE,
Biodiversity-related data portal,UNEP Live,,UN Environment,UNEP-004,FALSE,http://uneplive.unep.org,,Global,"Global, Areas Beyond National Jurisdiction (ABNJ)",Unrestricted,http://uneplive.unep.org/Home/termsconditions,FALSE,FALSE,FALSE,FALSE,TRUE,TRUE,,English,TRUE,
Biogeographic classification,Marine Biogeographic Realms,1.0 (2017),"Institute of Marine Science, University of Auckland, Auckland",UniAuk-001,TRUE,https://figshare.com/articles/GIS_shape_files_of_realm_maps/5596840,http://www.biodiversitya-z.org/content/biogeographic-classification-marine,Global,"Global, Areas Beyond National Jurisdiction (ABNJ)",CC BY 3.0 or 4.0,https://figshare.com/articles/GIS_shape_files_of_realm_maps/5596840,FALSE,TRUE,TRUE,FALSE,FALSE,FALSE,https://www.unep-wcmc.org/system/dataset_file_fields/files/000/000/341/original/McDermott_Long_et_al_-_OceanPlus_Library_-_8_Mar_2019.pdf?1552301984#page=179,English,TRUE,
Species habitat,A Modelled Global Distribution of the Seagrass Biome,1.0 (2018),"Institute of Marine Science, University of Auckland, Auckland",UniAuk-002,TRUE,http://data.unep-wcmc.org/datasets/46,http://wcmc.io/seagrass,Global,Global,CC BY 3.0 or 4.0,https://data.unep-wcmc.org/datasets/46,TRUE,FALSE,FALSE,FALSE,TRUE,TRUE,https://www.unep-wcmc.org/system/dataset_file_fields/files/000/000/341/original/McDermott_Long_et_al_-_OceanPlus_Library_-_8_Mar_2019.pdf?1552301984#page=71,English,FALSE,
Ecological status and impact,Plastic Debris Open Ocean (2014),2014,University of Cadiz,UniCadiz-001,TRUE,http://www.pnas.org/content/111/28/10239.full,,Global,"Global, Areas Beyond National Jurisdiction (ABNJ)",Specific Terms of Use,http://www.pnas.org/content/111/28/10239.full,FALSE,FALSE,TRUE,TRUE,FALSE,FALSE,https://www.unep-wcmc.org/system/dataset_file_fields/files/000/000/341/original/McDermott_Long_et_al_-_OceanPlus_Library_-_8_Mar_2019.pdf?1552301984#page=266,English,TRUE,
Environment descriptor,Global Crustal Model (2013),,"Scripps Institution of Oceanography, University of California",UniCal-002,FALSE,http://igppweb.ucsd.edu/~gabi/crust1.html,,Global,"Global, Areas Beyond National Jurisdiction (ABNJ)",Not Reported,https://igppweb.ucsd.edu/~gabi/rem.html,FALSE,TRUE,FALSE,FALSE,FALSE,FALSE,,English,TRUE,
Protected areas and areas of biodiversity importance,Global Shark Distribution Database (2011),2011,Dalhousie University,UniDahl-003,TRUE,http://journals.plos.org/plosone/article?id=10.1371/journal.pone.0019356,,Global,"Global, Areas Beyond National Jurisdiction (ABNJ)",CC BY 3.0 or 4.0,https://journals.plos.org/plosone/article?id=10.1371/journal.pone.0019356,FALSE,FALSE,FALSE,FALSE,TRUE,FALSE,https://www.unep-wcmc.org/system/dataset_file_fields/files/000/000/341/original/McDermott_Long_et_al_-_OceanPlus_Library_-_8_Mar_2019.pdf?1552301984#page=168,English,TRUE,
Species distribution,Ocean Tracking Network,,Dalhousie University,UniDalh-001,FALSE,http://members.oceantrack.org/data/discovery/GLOBAL.htm,,Global,"Global, Areas Beyond National Jurisdiction (ABNJ)",Unrestricted,https://members.oceantrack.org/data/policies/otn-data-policy-2018.pdf,FALSE,TRUE,TRUE,TRUE,TRUE,FALSE,,English,TRUE,
Ecosystem services and natural capital,Marine Ecosystem Services Partnership (MESP),,"Nicholas Institute for Environmental Policy Solutions, Duke University",UniDuke-001,TRUE,http://map.marineecosystemservices.org/,,Global,Global,Specific Terms of Use,http://map.marineecosystemservices.org/,FALSE,FALSE,FALSE,FALSE,FALSE,TRUE,https://www.unep-wcmc.org/system/dataset_file_fields/files/000/000/341/original/McDermott_Long_et_al_-_OceanPlus_Library_-_8_Mar_2019.pdf?1552301984#page=168,English,FALSE,
Administration,Global Distribution of Biological Field Stations,,"Leibniz-Institute of Freshwater Ecology and Inland Fisheries, IGB",IGB-001,FALSE,http://atlas.freshwaterbiodiversity.eu/index.php/explore/item/55-biological-field-stations,,Global,Global,CC BY 3.0 or 4.0,http://atlas.freshwaterbiodiversity.eu/index.php/maps?map=4.5.1-biological-field-stations,FALSE,TRUE,FALSE,FALSE,FALSE,FALSE,,English,FALSE,
Ecological status and impact,Forecasted Coral Reef Decline,,University of Fribourg,UniFri-001,FALSE,https://onlinelibrary.wiley.com/doi/abs/10.1111/gcb.12868,,Global,Global,Not Reported,https://onlinelibrary.wiley.com/doi/abs/10.1111/gcb.12868,FALSE,FALSE,FALSE,TRUE,TRUE,TRUE,,English,FALSE,
Ecosystem services and natural capital,A Global Map Of Coastal Recreation Values (2013),,University of Haifa,UniHaif-001,FALSE,https://doi.org/10.1016/j.ecolecon.2012.11.006,,Global,Global,Not Reported,https://doi.org/10.1016/j.ecolecon.2012.11.006,FALSE,FALSE,FALSE,FALSE,FALSE,TRUE,,English,FALSE,
Administration,"Global Self-consistent, Hierarchical, High-resolution Geography Database",2.3.4 (March 2015),"School of Ocean and Earth Science and Technology, University of Hawaii",UniHaw-001,TRUE,http://www.soest.hawaii.edu/pwessel/gshhg,,Global,"Global, Areas Beyond National Jurisdiction (ABNJ)",GNU (similar to CC BY-SA 4.0),http://www.soest.hawaii.edu/pwessel/gshhg,TRUE,TRUE,FALSE,FALSE,FALSE,FALSE,https://www.unep-wcmc.org/system/dataset_file_fields/files/000/000/341/original/McDermott_Long_et_al_-_OceanPlus_Library_-_8_Mar_2019.pdf?1552301984#page=225,English,TRUE,
Biogeographic classification,A Proposed Biogeography of the Deep Oceans (2013),2009,University of Hawaii,UniHaw-002,FALSE,mailto:oceanplus@unep-wcmc.org,,Global,"Global, Areas Beyond National Jurisdiction (ABNJ)",Not Reported,mailto:oceanplus@unep-wcmc.org,FALSE,FALSE,FALSE,FALSE,TRUE,FALSE,,English,TRUE,
Biogeographic classification,Global Seamount Database (2011),0.1,"School of Ocean and Earth Science and Technology, University of Hawaii",UniHaw-003,FALSE,http://www.soest.hawaii.edu/PT/SMTS/main.html,http://wcmc.io/seamounts,Global,"Global, Areas Beyond National Jurisdiction (ABNJ)",Not Reported,http://www.soest.hawaii.edu/PT/SMTS/main.html,FALSE,TRUE,FALSE,TRUE,TRUE,FALSE,,English,TRUE,
Ecological status and impact,Coral Reef Bright Spot,,"James Cook University, Townsville Campus",UniJC-001,FALSE,https://www.nature.com/articles/nature18607,,Global,Global,Not Reported,https://www.nature.com/articles/nature18607,FALSE,FALSE,TRUE,FALSE,TRUE,TRUE,,English,FALSE,
Biogenic habitat,Coral Trait Database,,Macquarie University,UniMacq-001,FALSE,https://www.nature.com/articles/sdata201617#data-records,,Global,Global,CC BY 3.0 or 4.0,https://figshare.com/articles/Coral_Trait_Database_1_1_1/2067414,FALSE,FALSE,FALSE,FALSE,TRUE,TRUE,,English,FALSE,
Biogenic habitat,Global Spatiotemporal Database of Mangrove Forest Cover (2014) (CGMFC-21),1.0 (2014),Salisbury University,UniSal-001,TRUE,http://faculty.salisbury.edu/~sehamilton/mangroves/,,Global,Global,CC BY 3.0 or 4.0,http://faculty.salisbury.edu/~sehamilton/mangroves/,FALSE,TRUE,TRUE,TRUE,TRUE,TRUE,https://www.unep-wcmc.org/system/dataset_file_fields/files/000/000/341/original/McDermott_Long_et_al_-_OceanPlus_Library_-_8_Mar_2019.pdf?1552301984#page=42,English,FALSE,
Environment descriptor,Global Seafloor Sediment Map,,Service Hydrographique et Oc̩anographique de la Marine,UniSyd-001,TRUE,ftp://ftp.earthbyte.org/papers/Dutkiewicz_etal_seafloor_lithology/,,Global,"Global, Areas Beyond National Jurisdiction (ABNJ)",Specific Terms of Use,ftp://ftp.earthbyte.org/papers/Dutkiewicz_etal_seafloor_lithology/,FALSE,TRUE,FALSE,FALSE,FALSE,FALSE,https://www.unep-wcmc.org/system/dataset_file_fields/files/000/000/341/original/McDermott_Long_et_al_-_OceanPlus_Library_-_8_Mar_2019.pdf?1552301984#page=207,English,TRUE,
Administration,Maritime Boundaries incl. Exclusive Economic Zones (EEZ),10.0 (2018),Flanders Marine Institute,VLIZ-001,TRUE,http://www.marineregions.org,,Global,"Global, Areas Beyond National Jurisdiction (ABNJ)",CC BY-NC-SA 3.0 or 4.0,http://www.marineregions.org/disclaimer.php,FALSE,TRUE,FALSE,FALSE,FALSE,FALSE,https://www.unep-wcmc.org/system/dataset_file_fields/files/000/000/341/original/McDermott_Long_et_al_-_OceanPlus_Library_-_8_Mar_2019.pdf?1552301984#page=335,English,TRUE,
Administration,Marine Regions Data Portal,,Flanders Marine Institute,VLIZ-003,TRUE,http://www.marineregions.org,,Global,"Global, Areas Beyond National Jurisdiction (ABNJ)",CC BY-NC-SA 3.0 or 4.0,http://www.marineregions.org/disclaimer.php,FALSE,TRUE,FALSE,FALSE,FALSE,FALSE,https://www.unep-wcmc.org/system/dataset_file_fields/files/000/000/341/original/McDermott_Long_et_al_-_OceanPlus_Library_-_8_Mar_2019.pdf?1552301984#page=345,English,TRUE,
Taxonomic database,World Register of Marine Species (WoRMS),,Flanders Marine Institute,VLIZ-004,TRUE,http://www.marinespecies.org/,,Global,"Global, Areas Beyond National Jurisdiction (ABNJ)",CC BY 3.0 or 4.0,http://www.marinespecies.org/porifera/index.php,FALSE,FALSE,FALSE,FALSE,TRUE,FALSE,https://www.unep-wcmc.org/system/dataset_file_fields/files/000/000/341/original/McDermott_Long_et_al_-_OceanPlus_Library_-_8_Mar_2019.pdf?1552301984#page=312,English,TRUE,
Taxonomic database,Mangrove Reference Database and Herbarium,,Flanders Marine Institute,VLIZ-005,FALSE,http://www.vliz.be/vmdcdata/mangroves,,Global,Global,Not Reported,http://www.vliz.be/vmdcdata/mangroves/#cite,FALSE,FALSE,FALSE,FALSE,TRUE,TRUE,,English,FALSE,
Taxonomic database,World Porifera Database (sponges),,Flanders Marine Institute,VLIZ-006,FALSE,http://www.marinespecies.org/porifera,,Global,"Global, Areas Beyond National Jurisdiction (ABNJ)",Specific Terms of Use,http://www.marinespecies.org/porifera/index.php,FALSE,FALSE,FALSE,FALSE,TRUE,FALSE,,English,TRUE,
Biogeographic classification,Longhurst Biogeographical Provinces (2006),,Flanders Marine Institute,VLIZ-007,TRUE,http://www.marineregions.org,,Global,"Global, Areas Beyond National Jurisdiction (ABNJ)",CC BY-NC-SA 3.0 or 4.0,http://www.marineregions.org/disclaimer.php,FALSE,TRUE,FALSE,FALSE,FALSE,FALSE,https://www.unep-wcmc.org/system/dataset_file_fields/files/000/000/341/original/McDermott_Long_et_al_-_OceanPlus_Library_-_8_Mar_2019.pdf?1552301984#page=173,English,TRUE,
Ecological status and impact,World Register of Introduced Marine Species (WRIMS),,Flanders Marine Institute,VLIZ-008,FALSE,http://www.marinespecies.org/introduced/online_sources.php,,Global,"Global, Areas Beyond National Jurisdiction (ABNJ)",Not Reported,http://www.marinespecies.org/introduced/,FALSE,FALSE,FALSE,TRUE,TRUE,FALSE,,English,TRUE,
Ecological status and impact,SeagrassNet: Global Seagrass Monitoring Network (2013),2013,"Washington State Department of Natural Resources, Aquatic Resources Division",WaDNR-001,TRUE,http://www.seagrassnet.org/about-seagrassnet,http://wcmc.io/seagrass,Global,Global,Specific Terms of Use,http://www.seagrassnet.org,FALSE,TRUE,FALSE,FALSE,TRUE,TRUE,https://www.unep-wcmc.org/system/dataset_file_fields/files/000/000/341/original/McDermott_Long_et_al_-_OceanPlus_Library_-_8_Mar_2019.pdf?1552301984#page=258,English,FALSE,
Biogenic habitat,Global Distribution of Cold-water Corals,5.0 (June 2018),UN Environment World Conservation Monitoring Centre,WCMC-001,TRUE,http://data.unep-wcmc.org/datasets/3,http://wcmc.io/cold-coral,Global,"Global, Areas Beyond National Jurisdiction (ABNJ)",UNEP-WCMC General Data Licence,https://www.unep-wcmc.org/policies/general-data-license-excluding-wdpa,FALSE,TRUE,TRUE,TRUE,TRUE,TRUE,https://www.unep-wcmc.org/system/dataset_file_fields/files/000/000/341/original/McDermott_Long_et_al_-_OceanPlus_Library_-_8_Mar_2019.pdf?1552301984#page=27,English,TRUE,
Biodiversity metric,Global Sea Turtle Species Richness (2002),,UN Environment World Conservation Monitoring Centre,WCMC-003,FALSE,mailto:oceanplus@unep-wcmc.org,http://wcmc.io/biodiversity-metric,Global,"Global, Areas Beyond National Jurisdiction (ABNJ)",Not Reported,mailto:oceanplus@unep-wcmc.org,FALSE,FALSE,FALSE,FALSE,TRUE,TRUE,,English,TRUE,
Ecological status and impact,Legacy dataset - Global Coral Disease Database (2010),1,UN Environment World Conservation Monitoring Centre,WCMC-004,FALSE,mailto:oceanplus@unep-wcmc.org,,Global,Global,UNEP-WCMC General Data Licence,https://www.unep-wcmc.org/policies/general-data-license-excluding-wdpa,FALSE,FALSE,FALSE,TRUE,TRUE,TRUE,,English,FALSE,
Administration,"Global Distribution of Islands ""IBPoW"" (2010)",1,UN Environment World Conservation Monitoring Centre,WCMC-005,TRUE,mailto:oceanplus@unep-wcmc.org,,Global,"Global, Areas Beyond National Jurisdiction (ABNJ)",UNEP-WCMC General Data Licence,https://www.unep-wcmc.org/policies/general-data-license-excluding-wdpa,FALSE,TRUE,FALSE,FALSE,FALSE,FALSE,https://www.unep-wcmc.org/system/dataset_file_fields/files/000/000/341/original/McDermott_Long_et_al_-_OceanPlus_Library_-_8_Mar_2019.pdf?1552301984#page=329,English,TRUE,
Species habitat,Global Distribution of Sea Turtle Feeding Sites (1999),1.1 (May 2015),UN Environment World Conservation Monitoring Centre,WCMC-006,TRUE,http://data.unep-wcmc.org/datasets/21,,Global,"Global, Areas Beyond National Jurisdiction (ABNJ)",UNEP-WCMC General Data Licence,https://www.unep-wcmc.org/policies/general-data-license-excluding-wdpa,FALSE,TRUE,FALSE,TRUE,TRUE,FALSE,https://www.unep-wcmc.org/system/dataset_file_fields/files/000/000/341/original/McDermott_Long_et_al_-_OceanPlus_Library_-_8_Mar_2019.pdf?1552301984#page=74,English,TRUE,
Species habitat,Global Distribution of Sea Turtle Nesting Sites (1999),1.1 (May 2015),UN Environment World Conservation Monitoring Centre,WCMC-007,TRUE,http://data.unep-wcmc.org/datasets/22,http://wcmc.io/turtle-nesting-site,Global,"Global, Areas Beyond National Jurisdiction (ABNJ)",UNEP-WCMC General Data Licence,https://www.unep-wcmc.org/policies/general-data-license-excluding-wdpa,FALSE,TRUE,FALSE,TRUE,TRUE,FALSE,https://www.unep-wcmc.org/system/dataset_file_fields/files/000/000/341/original/McDermott_Long_et_al_-_OceanPlus_Library_-_8_Mar_2019.pdf?1552301984#page=68,English,TRUE,
Biogenic habitat,Global Distribution of Coral Reefs,3.0 (June 2018),UN Environment World Conservation Monitoring Centre,WCMC-008,TRUE,http://data.unep-wcmc.org/datasets/1,http://wcmc.io/warm_coral_reef,Global,Global,UNEP-WCMC General Data Licence,https://www.unep-wcmc.org/policies/general-data-license-excluding-wdpa,FALSE,TRUE,TRUE,TRUE,TRUE,TRUE,https://www.unep-wcmc.org/system/dataset_file_fields/files/000/000/341/original/McDermott_Long_et_al_-_OceanPlus_Library_-_8_Mar_2019.pdf?1552301984#page=20,English,FALSE,
Biogenic habitat,Global Distribution of Coral Reefs - 1 Km Data (2003),7,UN Environment World Conservation Monitoring Centre,WCMC-009,TRUE,mailto:oceanplus@unep-wcmc.org,http://wcmc.io/warm_coral_reef,Global,Global,UNEP-WCMC General Data Licence,https://www.unep-wcmc.org/policies/general-data-license-excluding-wdpa,FALSE,TRUE,FALSE,FALSE,TRUE,TRUE,https://www.unep-wcmc.org/system/dataset_file_fields/files/000/000/341/original/McDermott_Long_et_al_-_OceanPlus_Library_-_8_Mar_2019.pdf?1552301984#page=25,English,FALSE,
Biogenic habitat,Global Distribution of Mangroves USGS (2011),1.3 (June 2015),UN Environment World Conservation Monitoring Centre,WCMC-010,TRUE,http://data.unep-wcmc.org/datasets/4,http://wcmc.io/mangroves,Global,Global,UNEP-WCMC General Data Licence,https://www.unep-wcmc.org/policies/general-data-license-excluding-wdpa,FALSE,TRUE,TRUE,TRUE,TRUE,TRUE,https://www.unep-wcmc.org/system/dataset_file_fields/files/000/000/341/original/McDermott_Long_et_al_-_OceanPlus_Library_-_8_Mar_2019.pdf?1552301984#page=39,English,FALSE,
Biogenic habitat,World Atlas of Mangroves,3.0 (June 2018),UN Environment World Conservation Monitoring Centre,WCMC-011,TRUE,http://data.unep-wcmc.org/datasets/5,http://wcmc.io/mangroves,Global,Global,UNEP-WCMC General Data Licence,https://www.unep-wcmc.org/policies/general-data-license-excluding-wdpa,FALSE,TRUE,TRUE,TRUE,TRUE,TRUE,https://www.unep-wcmc.org/system/dataset_file_fields/files/000/000/341/original/McDermott_Long_et_al_-_OceanPlus_Library_-_8_Mar_2019.pdf?1552301984#page=45,English,FALSE,
Biogenic habitat,World Mangrove Atlas (1997),1,UN Environment World Conservation Monitoring Centre,WCMC-012,TRUE,mailto:oceanplus@unep-wcmc.org,http://wcmc.io/mangroves,Global,Global,UNEP-WCMC General Data Licence,https://www.unep-wcmc.org/policies/general-data-license-excluding-wdpa,FALSE,FALSE,FALSE,FALSE,TRUE,TRUE,https://www.unep-wcmc.org/system/dataset_file_fields/files/000/000/341/original/McDermott_Long_et_al_-_OceanPlus_Library_-_8_Mar_2019.pdf?1552301984#page=52,English,FALSE,
Biogenic habitat,Global Distribution of Seagrasses,6.0 (June 2018),UN Environment World Conservation Monitoring Centre,WCMC-013-014,TRUE,http://data.unep-wcmc.org/datasets/7,http://wcmc.io/seagrass,Global,"Global, Areas Beyond National Jurisdiction (ABNJ)",UNEP-WCMC General Data Licence,https://www.unep-wcmc.org/policies/general-data-license-excluding-wdpa,FALSE,TRUE,TRUE,TRUE,TRUE,TRUE,https://www.unep-wcmc.org/system/dataset_file_fields/files/000/000/341/original/McDermott_Long_et_al_-_OceanPlus_Library_-_8_Mar_2019.pdf?1552301984#page=56,English,TRUE,
Biodiversity metric,Global Seagrass Species Richness (2003),1,UN Environment World Conservation Monitoring Centre,WCMC-015,TRUE,http://data.unep-wcmc.org/datasets/9,http://wcmc.io/biodiversity-metric,Global,Global,UNEP-WCMC General Data Licence,https://www.unep-wcmc.org/policies/general-data-license-excluding-wdpa,FALSE,FALSE,TRUE,FALSE,TRUE,TRUE,https://www.unep-wcmc.org/system/dataset_file_fields/files/000/000/341/original/McDermott_Long_et_al_-_OceanPlus_Library_-_8_Mar_2019.pdf?1552301984#page=138,English,FALSE,
Protected areas and areas of biodiversity importance,World Database on Protected Areas,Released monthly,UN Environment World Conservation Monitoring Centre,WCMC-016,TRUE,http://www.protectedplanet.net/,http://wcmc.io/MPA,Global,"Global, Areas Beyond National Jurisdiction (ABNJ)",UNEP-WCMC WDPA Data Licence,https://www.unep-wcmc.org/policies/wdpa-data-licence#data_policy,FALSE,TRUE,TRUE,TRUE,TRUE,FALSE,https://www.unep-wcmc.org/system/dataset_file_fields/files/000/000/341/original/McDermott_Long_et_al_-_OceanPlus_Library_-_8_Mar_2019.pdf?1552301984#page=144,English,TRUE,
Biodiversity metric,Global Patterns of Marine Biodiversity (2010),,UN Environment World Conservation Monitoring Centre,WCMC-019,TRUE,http://data.unep-wcmc.org/datasets/17,http://wcmc.io/biodiversity-metric,Global,"Global, Areas Beyond National Jurisdiction (ABNJ)",UNEP-WCMC General Data Licence,https://www.unep-wcmc.org/policies/general-data-license-excluding-wdpa,FALSE,FALSE,TRUE,FALSE,TRUE,FALSE,https://www.unep-wcmc.org/system/dataset_file_fields/files/000/000/341/original/McDermott_Long_et_al_-_OceanPlus_Library_-_8_Mar_2019.pdf?1552301984#page=129,English,TRUE,
Environment descriptor,Mean Sea Surface Productivity in June and December 2003-2007 (2008),,UN Environment World Conservation Monitoring Centre,WCMC-020-021,TRUE,http://data.unep-wcmc.org/datasets/18,http://wcmc.io/environment-descriptors,Global,"Global, Areas Beyond National Jurisdiction (ABNJ)",UNEP-WCMC General Data Licence,https://www.unep-wcmc.org/policies/general-data-license-excluding-wdpa,FALSE,FALSE,FALSE,FALSE,TRUE,FALSE,https://www.unep-wcmc.org/system/dataset_file_fields/files/000/000/341/original/McDermott_Long_et_al_-_OceanPlus_Library_-_8_Mar_2019.pdf?1552301984#page=210,English,TRUE,
