Category,Dataset title,Version,Contact organisation,Dataset ID,Associated metadata?,Webpage and/or download,Factsheet URL,Marine Spatial Planning & Policy,Education,Environmental Impact & high-level screening,Ecosystem health & assessment,Ecosystem services and blue carbon,DIC_MET_ACCESS_USE_CONSTRAINT.NAME,Regional Sea,Country
Biogenic habitat,Global Mangrove Watch,2,Global Mangrove Watch,GMW-001,TRUE,http://www.eorc.jaxa.jp/ALOS/en/kyoto/mangrovewatch.htm,http://wcmc.io/mangroves,FALSE,FALSE,FALSE,TRUE,TRUE,CC BY 4.0,North-East Atlantic,Australia
Biogenic habitat,Global Distribution of Coral Reefs,3.0 (June 2018),UN Environment World Conservation Monitoring Centre,WCMC-008,TRUE,http://data.unep-wcmc.org/datasets/1,http://wcmc.io/warm_coral_reef,TRUE,TRUE,TRUE,TRUE,TRUE,UNEP-WCMC SDA,North-East Pacific,Italy
Biogenic habitat,Global Distribution of Coral Reefs - 1 Km Data (2003),7,UN Environment World Conservation Monitoring Centre,WCMC-009,TRUE,See metadata,http://wcmc.io/warm_coral_reef,TRUE,FALSE,FALSE,TRUE,TRUE,UNEP-WCMC SDA,Red Sea and Gulf of Aden,Turkey
Biogenic habitat,Global Distribution of Cold-water Corals,5.0 (June 2018),UN Environment World Conservation Monitoring Centre,WCMC-001,TRUE,http://data.unep-wcmc.org/datasets/3,http://wcmc.io/cold-coral,TRUE,TRUE,TRUE,TRUE,TRUE,UNEP-WCMC SDA,ROPME Sea Area,Columbia
Biogenic habitat,Global Habitat Suitability for Framework-Forming Cold-Water Corals (2011),1,"School of Ocean Sciences, University of Bangor",Bangor-001,TRUE,http://doi.pangaea.de/10.1594/PANGAEA.775081,http://wcmc.io/cold-coral,TRUE,FALSE,FALSE,TRUE,TRUE,Other,North-East Atlantic,Australia
Biogenic habitat,Global Distributions of Habitat Suitability for Cold-Water Octocorals (2012),1.0 (2012),"Institute of Zoology, Zoological Society of London",ZSL-001,TRUE,http://data.unep-wcmc.org/datasets/40,http://wcmc.io/cold-coral,TRUE,TRUE,TRUE,TRUE,TRUE,CC BY 3.0,North-East Pacific,Italy
Biogenic habitat,Modelled Spatial Distributions of Coralligenous and Ma�rl Habitats (2014),2014,UN Environment World Conservation Monitoring Centre,Mediseh-001,TRUE,http://www.emodnet-seabedhabitats.eu/default.aspx?page=1974,,TRUE,FALSE,TRUE,TRUE,TRUE,CC BY 3.0,Red Sea and Gulf of Aden,Turkey
Biogenic habitat,Global Distribution of Mangroves USGS (2011),1.3 (June 2015),UN Environment World Conservation Monitoring Centre,WCMC-010,TRUE,http://data.unep-wcmc.org/datasets/4,http://wcmc.io/mangroves,TRUE,TRUE,TRUE,TRUE,TRUE,UNEP-WCMC SDA,ROPME Sea Area,Columbia
Biogenic habitat,World Atlas of Mangroves,3.0 (June 2018),UN Environment World Conservation Monitoring Centre,WCMC-011,TRUE,http://data.unep-wcmc.org/datasets/5,http://wcmc.io/mangroves,TRUE,TRUE,TRUE,TRUE,TRUE,UNEP-WCMC SDA,North-East Atlantic,Australia
Biogenic habitat,Global Distribution of Modelled Mangrove Biomass (2014),1.0 (2014),The Nature Conservancy,TNC-001,TRUE,http://data.unep-wcmc.org/datasets/39,http://wcmc.io/mangroves,TRUE,TRUE,FALSE,TRUE,TRUE,UNEP-WCMC SDA,North-East Pacific,Italy
Biogenic habitat,World Mangrove Atlas (1997),1,UN Environment World Conservation Monitoring Centre,WCMC-012,TRUE,http://data.unep-wcmc.org/datasets/6,http://wcmc.io/mangroves,FALSE,FALSE,FALSE,TRUE,TRUE,UNEP-WCMC SDA,Red Sea and Gulf of Aden,Turkey
Biogenic habitat,Mangrove Tree Height in Africa (2013),1.0 (September 2012),NASA Goddard Space Flight Centre,NASA-001,TRUE,Contact marine@unep-wcmc.org,http://wcmc.io/mangroves,TRUE,FALSE,TRUE,TRUE,TRUE,UNEP-WCMC SDA,ROPME Sea Area,Columbia
