Category,Dataset title,Version,Contact organisation,Dataset ID,Associated metadata?,Webpage and/or download,Factsheet URL,Marine Spatial Planning & Policy,Education,Environmental Impact & high-level screening,Ecosystem health & assessment,Ecosystem services and blue carbon
Biogenic habitat,Coral Trait Database,2017,Macquarie University,UniMacq-001,FALSE,https://www.nature.com/articles/sdata201617#data-records,,FALSE,FALSE,FALSE,TRUE,TRUE
Biogenic habitat,Global Distribution of Coral Reefs (2010),1.3,UN Environment World Conservation Monitoring Centre,WCMC-008,TRUE,http://data.unep-wcmc.org/datasets/1,http://wcmc.io/warm_coral_reef,TRUE,TRUE,TRUE,TRUE,TRUE
Biogenic habitat,Global Distribution of Coral Reefs - 1 Km Data (2003),7,UN Environment World Conservation Monitoring Centre,WCMC-009,TRUE,See metadata,http://wcmc.io/warm_coral_reef,TRUE,FALSE,FALSE,TRUE,TRUE
Biogenic habitat,Global Distribution of Cold-water Corals (2017),3,UN Environment World Conservation Monitoring Centre,WCMC-001,TRUE,http://data.unep-wcmc.org/datasets/3,http://wcmc.io/cold-coral,TRUE,TRUE,TRUE,TRUE,TRUE
Biogenic habitat,Global Habitat Suitability for Framework-Forming Cold-Water Corals (2011),1,"School of Ocean Sciences, University of Bangor",Bangor-001,TRUE,http://doi.pangaea.de/10.1594/PANGAEA.775081,http://wcmc.io/cold-coral,TRUE,FALSE,FALSE,TRUE,TRUE
Biogenic habitat,Global Distribution of Habitat Suitability for Stony Corals on Seamounts (2009),2009,UN Environment World Conservation Monitoring Centre,WCMC-024,FALSE,Contact marine@unep-wcmc.org,http://wcmc.io/seamounts,TRUE,FALSE,FALSE,TRUE,TRUE
Biogenic habitat,Global Distributions of Habitat Suitability for Cold-Water Octocorals (2012),1.0 (2012),"Institute of Zoology, Zoological Society of London",ZSL-001,TRUE,http://data.unep-wcmc.org/datasets/40,http://wcmc.io/cold-coral,TRUE,TRUE,TRUE,TRUE,TRUE
Biogenic habitat,Modelled Spatial Distributions of Coralligenous and Maërl Habitats (2014),2014,UN Environment World Conservation Monitoring Centre,Mediseh-001,TRUE,http://www.emodnet-seabedhabitats.eu/default.aspx?page=1974,,TRUE,FALSE,TRUE,TRUE,TRUE
Biogenic habitat,Global Distribution of Mangroves USGS (2011),1.3 (June 2015),UN Environment World Conservation Monitoring Centre,WCMC-010,TRUE,http://data.unep-wcmc.org/datasets/4,http://wcmc.io/mangroves,TRUE,TRUE,TRUE,TRUE,TRUE
Biogenic habitat,Global Spatiotemporal Database of Mangrove Forest Cover (2014),2014,Salisbury University,UniSal-001,FALSE,http://arxiv.org/abs/1412.0722,,TRUE,FALSE,FALSE,TRUE,TRUE
